task,ui_type,dispersion
포장여부 선택,개선된 UI,113
포장여부 선택,개선된 UI,85
포장여부 선택,개선된 UI,92
포장여부 선택,개선된 UI,107
포장여부 선택,개선된 UI,98
포장여부 선택,개선된 UI,102
포장여부 선택,개선된 UI,88
버거 카테고리 선택,개선된 UI,154
버거 카테고리 선택,개선된 UI,172
버거 카테고리 선택,개선된 UI,125
버거 카테고리 선택,개선된 UI,134
버거 카테고리 선택,개선된 UI,144
버거 카테고리 선택,개선된 UI,162
버거 카테고리 선택,개선된 UI,168
빅맥 찾기,개선된 UI,22
빅맥 찾기,개선된 UI,52
빅맥 찾기,개선된 UI,17
빅맥 찾기,개선된 UI,42
빅맥 찾기,개선된 UI,33
빅맥 찾기,개선된 UI,25
빅맥 찾기,개선된 UI,30
세트 옵션 변경,개선된 UI,67
세트 옵션 변경,개선된 UI,44
세트 옵션 변경,개선된 UI,52
세트 옵션 변경,개선된 UI,77
세트 옵션 변경,개선된 UI,57
세트 옵션 변경,개선된 UI,54
세트 옵션 변경,개선된 UI,62
사이드 메뉴 변경,개선된 UI (이미지1),142
사이드 메뉴 변경,개선된 UI (이미지1),111
사이드 메뉴 변경,개선된 UI (이미지1),123
사이드 메뉴 변경,개선된 UI (이미지1),133
사이드 메뉴 변경,개선된 UI (이미지1),140
사이드 메뉴 변경,개선된 UI (이미지1),127
사이드 메뉴 변경,개선된 UI (이미지1),132
사이드 메뉴 변경,개선된 UI (이미지2),162
사이드 메뉴 변경,개선된 UI (이미지2),127
사이드 메뉴 변경,개선된 UI (이미지2),138
사이드 메뉴 변경,개선된 UI (이미지2),144
사이드 메뉴 변경,개선된 UI (이미지2),152
사이드 메뉴 변경,개선된 UI (이미지2),157
사이드 메뉴 변경,개선된 UI (이미지2),143
사이드 메뉴 변경,기존 UI,158
사이드 메뉴 변경,기존 UI,143
사이드 메뉴 변경,기존 UI,221
사이드 메뉴 변경,기존 UI,165
사이드 메뉴 변경,기존 UI,208
사이드 메뉴 변경,기존 UI,198
사이드 메뉴 변경,기존 UI,202
세트 옵션 변경,기존 UI,303
세트 옵션 변경,기존 UI,242
세트 옵션 변경,기존 UI,333
세트 옵션 변경,기존 UI,262
세트 옵션 변경,기존 UI,322
세트 옵션 변경,기존 UI,271
세트 옵션 변경,기존 UI,292
포장여부 선택,기존 UI (이미지2),323
포장여부 선택,기존 UI (이미지2),282
포장여부 선택,기존 UI (이미지2),356
포장여부 선택,기존 UI (이미지2),332
포장여부 선택,기존 UI (이미지2),357
포장여부 선택,기존 UI (이미지2),312
포장여부 선택,기존 UI (이미지2),373
포장여부 선택,기존 UI (이미지1),388
포장여부 선택,기존 UI (이미지1),452
포장여부 선택,기존 UI (이미지1),398
포장여부 선택,기존 UI (이미지1),432
포장여부 선택,기존 UI (이미지1),386
포장여부 선택,기존 UI (이미지1),391
포장여부 선택,기존 UI (이미지1),433
빅맥 찾기,기존 UI,433
빅맥 찾기,기존 UI,385
빅맥 찾기,기존 UI,475
빅맥 찾기,기존 UI,392
빅맥 찾기,기존 UI,343
빅맥 찾기,기존 UI,401
빅맥 찾기,기존 UI,502
버거 카테고리 선택,기존 UI,532
버거 카테고리 선택,기존 UI,382
버거 카테고리 선택,기존 UI,501
버거 카테고리 선택,기존 UI,453
버거 카테고리 선택,기존 UI,408
버거 카테고리 선택,기존 UI,394
버거 카테고리 선택,기존 UI,488
